Equipa Médica,Número de Consultas,Data Consulta
PM,13,2024-03-06
Não Aplicável - NA,10,2023-11-30
SM,10,2023-06-17
PD,5,2024-04-04
PD,10,2023-07-22
SM,14,2024-01-13
SM,14,2023-11-09
PM,9,2023-09-04
Não Aplicável - NA,9,2024-01-30
PD,13,2023-08-28
Não Aplicável - NA,5,2023-04-26
PD,9,2023-12-22
PM,7,2023-10-15
MJG,14,2024-04-03
Não Aplicável - NA,13,2024-01-09
Não Aplicável - NA,8,2024-03-12
SM,7,2024-02-27
PD,15,2023-05-04
PD,6,2023-12-18
MJG,11,2023-07-12
SM,12,2023-05-26
Não Aplicável - NA,10,2023-09-30
MJG,14,2023-12-24
PD,12,2023-05-24
MJG,11,2023-05-04
PM,5,2024-04-02
PD,11,2023-08-11
Não Aplicável - NA,8,2023-07-26
SM,14,2024-01-01
MJG,15,2023-08-06
Não Aplicável - NA,9,2024-03-19
SM,14,2023-06-22
Não Aplicável - NA,15,2023-06-11
Não Aplicável - NA,14,2024-03-09
Não Aplicável - NA,11,2023-07-10
MJG,11,2024-04-12
SM,9,2024-01-07
Não Aplicável - NA,9,2023-09-16
PD,11,2023-10-12
Não Aplicável - NA,15,2024-03-03
Não Aplicável - NA,5,2023-04-16
SM,11,2023-08-09
MJG,8,2023-08-22
PD,13,2023-05-12
SM,13,2024-04-14
Não Aplicável - NA,8,2024-02-17
MJG,7,2023-08-03
MJG,14,2023-11-23
Não Aplicável - NA,15,2023-10-13
PD,5,2024-01-21
SM,14,2024-03-25
PM,5,2023-04-20
PD,5,2023-09-18
PM,11,2023-11-09
PD,7,2023-09-28
PM,8,2023-09-13
SM,8,2024-01-28
Não Aplicável - NA,15,2024-01-06
Não Aplicável - NA,15,2023-05-21
SM,14,2023-08-10
Não Aplicável - NA,13,2024-04-10
MJG,7,2023-11-27
MJG,9,2023-06-24
MJG,15,2023-06-14
MJG,5,2024-03-18
SM,5,2023-08-02
Não Aplicável - NA,15,2023-10-17
MJG,8,2024-03-28
MJG,13,2023-08-13
MJG,6,2023-09-25
PM,12,2023-05-07
MJG,6,2024-03-18
Não Aplicável - NA,8,2023-05-20
Não Aplicável - NA,6,2023-08-02
MJG,14,2023-09-18
PD,7,2023-06-28
PM,5,2023-09-01
PD,7,2024-02-22
Não Aplicável - NA,11,2024-04-01
PM,15,2024-03-12
PM,14,2023-08-02
PD,9,2024-02-22
PD,12,2023-07-13
PM,13,2024-03-25
PD,7,2023-11-29
MJG,9,2024-04-01
SM,5,2023-09-04
PM,15,2023-05-26
PD,14,2023-07-29
MJG,5,2024-03-05
PD,5,2023-06-24
SM,13,2023-11-11
PD,13,2023-06-09
Não Aplicável - NA,7,2023-07-22
Não Aplicável - NA,15,2024-01-30
Não Aplicável - NA,14,2024-04-07
Não Aplicável - NA,9,2023-06-09
PD,13,2024-03-23
PM,8,2023-05-13
SM,9,2024-04-07
MJG,15,2023-06-12
Não Aplicável - NA,6,2023-05-02
SM,15,2023-09-16
SM,13,2024-01-09
MJG,15,2023-12-04
PD,11,2023-04-16
Não Aplicável - NA,7,2024-02-15
PD,5,2023-07-28
PD,6,2023-05-30
Não Aplicável - NA,7,2024-02-28
PM,13,2024-03-29
MJG,8,2024-02-15
MJG,5,2023-11-18
Não Aplicável - NA,15,2023-08-07
SM,7,2024-02-02
MJG,11,2023-09-19
PM,12,2024-03-26
MJG,10,2023-09-27
PM,14,2023-04-30
PM,6,2024-04-14
SM,12,2024-03-24
PD,13,2023-12-20
MJG,6,2024-01-17
PD,8,2023-12-05
PD,14,2023-06-03
PM,9,2023-12-11
SM,10,2024-01-04
PD,6,2023-05-12
PD,5,2023-11-27
SM,7,2023-04-29
Não Aplicável - NA,9,2023-12-08
PM,14,2023-12-06
Não Aplicável - NA,9,2023-11-27
Não Aplicável - NA,6,2024-03-10
SM,12,2023-08-28
SM,10,2023-11-02
MJG,9,2024-03-03
PD,6,2023-10-08
PD,7,2023-07-21
SM,5,2023-10-10
PM,6,2024-01-03
PM,15,2024-03-17
PD,11,2023-07-09
SM,8,2023-06-15
PD,14,2023-09-23
PD,14,2023-08-02
SM,14,2023-12-24
PD,12,2023-10-17
SM,15,2023-12-17
SM,9,2023-09-03
PM,11,2023-09-06
PM,5,2023-09-13
PD,15,2024-03-28
Não Aplicável - NA,13,2024-01-25
SM,8,2023-07-13
PD,15,2023-08-01
Não Aplicável - NA,11,2024-02-20
Não Aplicável - NA,13,2023-11-01
MJG,12,2023-08-22
Não Aplicável - NA,14,2023-04-20
MJG,11,2024-01-13
Não Aplicável - NA,8,2023-08-04
MJG,15,2023-12-05
Não Aplicável - NA,15,2024-03-11
SM,11,2023-10-27
PM,13,2024-02-18
MJG,5,2024-03-09
Não Aplicável - NA,15,2024-03-29
PD,8,2024-02-06
Não Aplicável - NA,13,2023-11-27
MJG,10,2023-11-17
PM,12,2024-02-15
SM,10,2023-11-30
PM,5,2023-12-16
PM,15,2024-04-11
MJG,10,2023-12-17
SM,7,2024-02-08
SM,6,2024-03-17
PM,7,2024-03-11
SM,9,2023-09-17
MJG,7,2023-08-24
Não Aplicável - NA,15,2023-07-31
PM,13,2024-02-19
MJG,7,2024-04-06
MJG,9,2023-05-09
PD,12,2023-06-05
MJG,12,2023-05-24
PD,7,2024-04-12
SM,7,2023-12-09
SM,15,2023-10-08
PM,15,2024-03-03
PM,6,2024-03-02
PM,7,2023-07-15
SM,5,2024-02-16
PD,8,2023-08-16
MJG,7,2024-02-09
Não Aplicável - NA,6,2023-05-26
SM,10,2023-07-29
SM,5,2023-04-20
PD,11,2023-12-04
Não Aplicável - NA,15,2023-08-18
PM,5,2023-11-09
SM,9,2023-12-12
Não Aplicável - NA,13,2023-04-16
Não Aplicável - NA,7,2023-05-20
PM,7,2023-08-01
Não Aplicável - NA,14,2024-01-28
PM,7,2024-02-26
Não Aplicável - NA,9,2023-12-16
PD,8,2023-12-30
SM,15,2023-11-03
PM,6,2024-01-08
MJG,15,2023-11-24
PD,5,2024-02-11
PD,12,2023-06-12
PM,7,2024-01-19
PD,5,2023-07-10
Não Aplicável - NA,9,2023-10-29
MJG,10,2023-05-16
PD,10,2023-08-26
SM,13,2023-07-13
SM,9,2023-05-06
MJG,7,2023-09-04
Não Aplicável - NA,12,2023-12-13
SM,15,2023-10-03
PM,15,2023-12-25
SM,15,2023-10-17
Não Aplicável - NA,6,2023-12-13
Não Aplicável - NA,5,2023-10-17
PD,11,2023-09-21
SM,11,2023-06-15
Não Aplicável - NA,10,2023-05-04
PM,11,2023-11-18
MJG,9,2024-03-24
SM,8,2023-09-22
MJG,9,2024-02-13
SM,7,2023-11-25
MJG,12,2023-08-02
PM,5,2023-10-03
Não Aplicável - NA,5,2024-03-20
MJG,5,2023-06-19
SM,15,2024-02-16
MJG,15,2024-01-29
Não Aplicável - NA,6,2024-04-04
Não Aplicável - NA,13,2023-09-19
Não Aplicável - NA,14,2024-03-31
SM,14,2023-04-24
PD,8,2023-08-27
Não Aplicável - NA,6,2023-10-06
PM,15,2023-08-07
MJG,12,2023-12-17
MJG,10,2023-10-15
PD,6,2023-04-26
Não Aplicável - NA,14,2023-06-11
SM,11,2024-03-14
PM,14,2023-06-12
MJG,6,2023-06-13
Não Aplicável - NA,6,2023-07-22
Não Aplicável - NA,5,2024-01-08
SM,13,2023-07-09
SM,12,2023-07-04
PM,11,2023-08-04
SM,14,2023-05-24
PD,10,2024-01-12
Não Aplicável - NA,15,2024-01-26
PM,5,2023-11-20
PD,5,2024-02-20
MJG,10,2023-09-20
SM,7,2023-12-15
SM,5,2023-04-26
PM,6,2023-11-08
MJG,15,2023-09-24
MJG,11,2023-06-16
PM,5,2024-03-25
PM,14,2024-03-11
PD,7,2023-10-17
PM,12,2023-05-25
MJG,12,2024-01-29
PM,5,2024-01-06
PD,7,2024-02-10
MJG,9,2023-12-17
SM,14,2023-11-08
MJG,15,2023-06-14
SM,13,2023-04-30
PD,10,2023-07-28
PD,10,2023-07-11
MJG,14,2024-04-10
Não Aplicável - NA,9,2023-12-23
Não Aplicável - NA,8,2023-11-30
MJG,15,2023-12-08
Não Aplicável - NA,14,2023-12-10
PM,5,2023-07-18
PM,11,2023-12-19
Não Aplicável - NA,10,2023-07-19
MJG,7,2024-03-06
PM,8,2023-04-22
PD,8,2023-05-14
PM,13,2023-05-08
PM,12,2023-07-01
SM,8,2023-08-08
PD,10,2023-06-07
SM,7,2023-04-16
MJG,14,2023-12-26
Não Aplicável - NA,15,2023-08-05
MJG,9,2023-10-31
MJG,11,2023-12-02
SM,8,2023-06-15
PM,7,2023-08-11
SM,14,2023-12-29
PD,10,2023-08-28
PD,14,2023-08-01
PD,7,2023-05-02
PD,12,2023-09-18
MJG,7,2023-05-09
PD,13,2023-11-27
PM,7,2023-07-18
Não Aplicável - NA,14,2023-04-20
PD,15,2023-10-02
PM,9,2023-07-09
SM,13,2023-07-02
Não Aplicável - NA,15,2023-09-16
Não Aplicável - NA,15,2024-02-27
MJG,11,2023-09-27
PM,9,2023-07-02
Não Aplicável - NA,8,2023-04-27
SM,14,2023-11-16
MJG,14,2024-03-19
Não Aplicável - NA,6,2024-03-20
Não Aplicável - NA,15,2023-10-29
SM,10,2024-02-04
PD,11,2023-10-24
Não Aplicável - NA,8,2023-06-05
Não Aplicável - NA,14,2023-09-04
PD,15,2024-03-16
Não Aplicável - NA,6,2023-09-17
PD,5,2024-01-24
PM,7,2023-05-29
SM,14,2023-12-29
SM,12,2024-04-05
Não Aplicável - NA,14,2024-03-19
MJG,15,2023-09-25
MJG,7,2023-04-23
Não Aplicável - NA,14,2023-09-18
PD,11,2024-04-01
SM,8,2023-06-25
MJG,14,2023-06-12
SM,8,2024-02-04
PM,15,2023-05-03
Não Aplicável - NA,14,2023-04-30
Não Aplicável - NA,15,2023-08-12
MJG,9,2023-10-04
Não Aplicável - NA,8,2024-01-05
MJG,7,2023-07-08
SM,15,2023-10-09
PM,10,2023-05-26
PD,7,2023-11-04
Não Aplicável - NA,12,2024-03-15
MJG,7,2023-05-09
PM,7,2023-12-21
PM,11,2023-11-03
MJG,7,2024-03-07
PM,14,2023-09-20
SM,5,2023-06-25
MJG,15,2024-03-26
Não Aplicável - NA,13,2023-07-28
PD,7,2024-03-26
Não Aplicável - NA,9,2023-12-10
PM,6,2024-01-11
MJG,13,2024-03-18
Não Aplicável - NA,10,2024-01-15
SM,14,2023-09-02
SM,11,2024-03-17
PD,6,2024-02-06
PM,8,2023-09-15
SM,5,2023-10-02
PM,12,2023-08-24
MJG,12,2024-03-12
SM,14,2024-03-25
MJG,10,2023-12-07
MJG,7,2023-08-14
MJG,14,2023-10-09
Não Aplicável - NA,5,2024-02-01
SM,15,2023-08-04
PD,6,2023-04-20
PD,11,2023-11-19
SM,15,2023-06-06
SM,14,2023-12-24
SM,13,2023-10-11
MJG,14,2023-07-27
PM,5,2023-09-20
Não Aplicável - NA,13,2023-08-19
MJG,10,2024-03-12
MJG,7,2023-10-03
PD,14,2024-01-16
SM,12,2023-12-12
MJG,7,2023-08-19
Não Aplicável - NA,10,2023-08-29
MJG,14,2023-05-03
MJG,15,2023-09-15
Não Aplicável - NA,13,2023-09-27
Não Aplicável - NA,6,2023-05-02
Não Aplicável - NA,10,2024-02-09
Não Aplicável - NA,7,2024-01-10
PD,10,2023-11-05
SM,15,2024-01-10
PD,6,2023-09-01
PM,5,2023-10-01
PD,10,2023-06-06
MJG,8,2024-04-13
MJG,8,2023-12-20
Não Aplicável - NA,9,2024-01-04
SM,6,2024-01-12
PD,10,2023-08-05
PM,5,2023-07-14
PM,10,2023-04-18
PM,7,2023-08-06
PM,12,2023-11-27
PD,8,2024-01-17
Não Aplicável - NA,10,2024-03-29
PD,7,2024-01-15
PM,5,2023-07-04
MJG,7,2023-09-16
MJG,5,2023-04-27
PM,8,2023-12-10
PD,9,2023-07-17
MJG,6,2023-05-10
PD,11,2024-02-20
PM,6,2023-08-12
Não Aplicável - NA,9,2023-11-08
Não Aplicável - NA,12,2024-01-15
PD,6,2023-04-20
PM,15,2024-01-16
MJG,7,2023-09-19
PM,7,2023-11-07
PD,12,2023-10-22
PD,12,2023-07-29
PM,15,2023-08-04
PM,8,2023-11-22
PM,14,2023-10-31
Não Aplicável - NA,6,2023-05-12
Não Aplicável - NA,5,2024-01-25
Não Aplicável - NA,13,2023-05-22
PM,13,2023-05-14
PM,13,2023-08-10
SM,13,2023-10-21
MJG,10,2023-07-01
Não Aplicável - NA,6,2024-01-20
Não Aplicável - NA,11,2023-08-26
PD,5,2023-06-24
PM,15,2023-11-18
PM,11,2023-07-18
SM,6,2023-06-28
SM,6,2024-03-31
PM,15,2023-12-03
MJG,11,2023-04-21
Não Aplicável - NA,15,2023-12-17
SM,9,2024-02-13
SM,14,2023-07-01
PM,5,2023-09-22
Não Aplicável - NA,6,2023-06-15
MJG,13,2024-01-13
MJG,5,2024-01-08
MJG,14,2023-08-24
MJG,7,2023-07-24
PD,14,2023-12-28
Não Aplicável - NA,10,2023-07-09
MJG,9,2024-04-06
Não Aplicável - NA,10,2023-05-15
Não Aplicável - NA,13,2024-02-15
SM,5,2024-04-03
SM,13,2023-10-15
Não Aplicável - NA,9,2023-11-23
MJG,12,2024-02-25
PD,9,2023-07-10
MJG,12,2023-06-24
SM,14,2023-09-26
Não Aplicável - NA,8,2023-06-26
PM,5,2023-08-23
SM,8,2023-11-12
MJG,13,2024-04-02
PM,5,2023-05-19
SM,11,2023-12-01
MJG,8,2023-11-24
PM,5,2024-03-05
PM,8,2023-10-09
MJG,9,2023-05-30
SM,14,2023-09-01
PD,7,2023-10-17
SM,13,2023-08-28
SM,8,2024-03-08
PM,8,2023-04-30
SM,12,2024-01-20
PD,7,2024-02-04
PD,9,2023-05-07
SM,9,2023-11-24
PM,7,2023-10-01
PD,13,2023-09-14
PD,14,2023-04-17
PM,8,2024-02-05
PM,7,2023-11-06
SM,10,2023-11-04
SM,12,2023-08-04
PD,13,2023-12-20
MJG,11,2023-09-17
Não Aplicável - NA,5,2023-04-25
SM,5,2023-05-05
PM,9,2024-04-07
PD,7,2023-09-19
MJG,10,2023-04-30
PM,14,2023-09-10
MJG,12,2023-07-05
Não Aplicável - NA,11,2023-10-23
PD,8,2024-01-10
MJG,12,2023-06-19
SM,11,2023-11-03
PD,11,2023-05-17
MJG,6,2023-06-02
SM,11,2024-03-26
MJG,6,2023-11-10
SM,8,2023-07-29
PD,6,2023-11-12
PD,14,2023-04-26
PM,12,2023-07-10
Não Aplicável - NA,15,2024-04-11
MJG,7,2023-07-30
Não Aplicável - NA,5,2024-03-05
Não Aplicável - NA,13,2023-11-05
SM,11,2024-01-25
SM,13,2023-07-19
PM,14,2023-10-22
PD,14,2024-02-01
MJG,13,2023-11-15
PM,10,2023-05-15
MJG,9,2023-05-28
SM,15,2023-07-11
MJG,14,2024-04-10
PD,6,2023-11-07
SM,11,2024-02-17
MJG,7,2024-02-09
Não Aplicável - NA,11,2023-10-17
PM,8,2023-09-30
MJG,10,2023-10-16
MJG,14,2023-06-12
Não Aplicável - NA,5,2024-03-11
PD,5,2024-03-10
SM,15,2023-06-13
SM,5,2023-12-24
MJG,5,2024-01-31
MJG,8,2023-10-26
Não Aplicável - NA,9,2023-12-13
Não Aplicável - NA,13,2024-04-02
MJG,6,2024-02-25
PD,12,2023-08-29
PM,11,2023-05-06
PD,14,2023-04-17
MJG,7,2023-11-11
SM,11,2023-10-23
PD,9,2023-05-10
MJG,6,2024-01-11
PD,15,2023-10-26
PD,6,2023-09-18
SM,5,2023-05-08
PD,13,2024-04-04
SM,15,2024-02-08
PD,15,2023-08-31
PM,12,2023-12-19
PM,6,2023-08-26
Não Aplicável - NA,15,2023-08-14
PM,10,2023-10-21
PD,6,2023-11-12
PD,12,2023-11-23
PD,15,2024-04-13
PM,6,2024-02-24
Não Aplicável - NA,9,2023-08-31
Não Aplicável - NA,5,2023-06-27
Não Aplicável - NA,11,2023-08-25
PD,13,2023-07-11
PM,7,2023-07-02
Não Aplicável - NA,15,2024-02-17
Não Aplicável - NA,5,2024-01-19
Não Aplicável - NA,13,2024-01-06
PM,6,2024-01-14
PM,7,2023-06-27
SM,6,2023-04-24
SM,12,2023-07-31
PM,13,2024-02-20
SM,11,2023-05-19
PD,7,2023-12-23
Não Aplicável - NA,14,2023-07-28
SM,11,2023-10-02
SM,5,2023-12-02
PM,14,2023-12-19
Não Aplicável - NA,15,2023-05-18
MJG,10,2023-12-03
SM,6,2023-09-04
Não Aplicável - NA,15,2023-04-22
Não Aplicável - NA,7,2023-11-16
SM,7,2023-08-22
SM,14,2024-02-09
PD,14,2023-04-24
PD,13,2023-11-19
PD,11,2023-10-15
SM,13,2024-02-28
Não Aplicável - NA,7,2024-02-17
PD,10,2023-06-26
SM,9,2024-01-20
PD,8,2023-07-04
Não Aplicável - NA,13,2023-11-20
PD,13,2023-07-31
PM,9,2023-06-18
MJG,10,2023-06-30
PM,8,2023-10-30
PM,15,2023-12-28
PM,5,2023-09-14
PD,8,2023-08-25
Não Aplicável - NA,7,2023-05-17
SM,14,2023-05-27
PM,5,2023-05-13
PD,10,2023-07-19
Não Aplicável - NA,9,2023-05-07
MJG,14,2024-02-02
Não Aplicável - NA,8,2023-10-27
MJG,13,2024-04-14
MJG,15,2023-07-03
PM,15,2024-03-06
PD,14,2023-08-25
MJG,14,2023-06-01
PM,6,2023-07-28
SM,6,2024-02-12
Não Aplicável - NA,13,2023-09-27
PD,13,2023-10-20
Não Aplicável - NA,9,2023-06-22
PD,9,2023-07-10
PD,8,2023-05-07
MJG,7,2023-05-11
PD,12,2023-09-30
SM,12,2024-03-05
MJG,13,2023-06-23
PM,7,2024-01-04
Não Aplicável - NA,7,2024-03-04
Não Aplicável - NA,10,2024-01-12
Não Aplicável - NA,5,2023-10-17
MJG,12,2023-07-03
Não Aplicável - NA,14,2023-05-13
SM,5,2023-07-15
PM,9,2023-10-02
PD,14,2023-12-13
PD,13,2023-09-03
SM,7,2023-06-13
MJG,13,2023-12-06
SM,10,2023-05-09
PM,9,2023-11-15
PM,10,2023-12-02
PD,15,2023-07-21
MJG,14,2023-06-03
SM,12,2024-01-03
PD,10,2023-04-30
MJG,9,2023-12-21
PD,11,2023-10-28
PD,13,2023-05-16
SM,15,2023-12-06
Não Aplicável - NA,15,2023-07-05
MJG,8,2024-04-05
SM,10,2024-04-07
Não Aplicável - NA,6,2024-04-05
PD,10,2023-05-16
PM,14,2023-04-26
PD,12,2023-12-14
PD,5,2023-08-27
SM,6,2023-06-09
SM,15,2023-08-31
PM,10,2023-09-02
PD,8,2024-02-26
PD,6,2024-01-31
Não Aplicável - NA,5,2023-09-25
PM,13,2023-06-29
PM,7,2023-12-02
SM,9,2024-02-27
MJG,6,2024-01-03
SM,15,2023-11-01
MJG,15,2023-11-15
SM,8,2024-02-29
SM,14,2024-03-02
SM,8,2023-06-03
PM,5,2023-11-20
PD,5,2023-11-10
PD,9,2024-02-11
PM,7,2024-02-08
Não Aplicável - NA,8,2023-12-30
PD,14,2023-12-13
Não Aplicável - NA,7,2023-08-21
PM,11,2023-09-14
SM,6,2023-11-14
Não Aplicável - NA,7,2024-03-07
PD,14,2023-04-29
PM,12,2023-06-17
PD,12,2023-08-17
PM,13,2024-02-14
MJG,13,2024-04-07
Não Aplicável - NA,14,2023-11-13
MJG,6,2023-12-19
Não Aplicável - NA,13,2023-11-15
PM,12,2023-11-09
PD,6,2023-07-21
MJG,9,2024-02-06
PD,12,2023-10-23
SM,14,2024-03-23
SM,13,2023-08-28
MJG,10,2023-12-21
Não Aplicável - NA,9,2023-10-06
Não Aplicável - NA,13,2024-02-07
PD,14,2023-06-25
MJG,6,2024-01-09
PM,14,2023-12-03
SM,9,2023-05-09
MJG,5,2023-06-03
MJG,10,2023-10-26
Não Aplicável - NA,15,2023-09-18
MJG,9,2023-11-27
Não Aplicável - NA,14,2023-08-29
Não Aplicável - NA,12,2023-10-28
SM,9,2023-07-12
SM,6,2023-12-28
Não Aplicável - NA,15,2023-12-20
MJG,15,2024-03-11
MJG,14,2023-10-21
MJG,11,2024-01-28
Não Aplicável - NA,9,2023-07-24
PD,9,2024-04-05
SM,12,2024-02-08
PM,7,2023-09-25
SM,6,2023-06-22
PD,7,2023-05-19
SM,9,2023-09-06
MJG,14,2023-08-31
PD,15,2023-07-03
Não Aplicável - NA,9,2023-07-22
SM,14,2023-08-04
MJG,12,2024-01-17
SM,5,2023-05-06
PD,6,2023-08-08
MJG,10,2023-06-09
SM,10,2024-03-31
Não Aplicável - NA,10,2024-01-19
PD,9,2023-07-27
MJG,8,2023-08-03
PD,11,2024-03-27
SM,10,2023-08-20
PM,12,2023-08-30
PD,10,2024-03-29
PM,13,2023-09-22
SM,12,2023-12-31
PD,14,2023-11-25
Não Aplicável - NA,14,2024-01-22
SM,11,2024-02-03
PM,14,2024-03-01
Não Aplicável - NA,7,2023-06-05
PM,9,2024-01-01
MJG,15,2024-04-03
PD,13,2023-07-19
PM,12,2023-08-14
MJG,14,2023-06-07
Não Aplicável - NA,13,2023-06-27
MJG,11,2024-02-06
MJG,5,2023-05-15
PM,9,2024-02-01
Não Aplicável - NA,5,2023-09-05
SM,15,2024-01-23
SM,9,2023-05-04
SM,11,2023-07-12
MJG,10,2023-07-05
MJG,6,2023-07-21
MJG,6,2023-06-03
PD,10,2024-01-31
PD,7,2023-07-29
SM,13,2023-09-23
MJG,8,2024-04-12
Não Aplicável - NA,7,2023-10-19
Não Aplicável - NA,9,2023-07-21
SM,14,2024-04-09
MJG,7,2024-01-14
MJG,9,2024-03-21
SM,10,2024-01-05
PM,13,2023-07-15
PM,13,2023-11-15
PM,8,2023-11-04
PD,10,2023-10-22
SM,11,2023-12-30
Não Aplicável - NA,12,2023-06-08
PD,10,2023-06-16
PM,5,2023-06-20
SM,10,2023-06-30
MJG,9,2023-05-12
PM,9,2023-09-02
PM,11,2023-07-26
SM,8,2023-09-09
PD,10,2023-07-29
SM,9,2023-09-17
Não Aplicável - NA,10,2024-03-16
MJG,12,2024-03-05
PD,8,2023-06-29
SM,12,2024-03-09
SM,12,2023-09-23
PM,7,2023-09-03
MJG,15,2023-10-04
MJG,7,2023-11-04
SM,11,2023-12-27
Não Aplicável - NA,8,2024-03-26
SM,10,2023-09-23
SM,5,2024-02-17
PD,11,2023-12-01
PM,15,2023-10-14
Não Aplicável - NA,15,2024-02-23
PD,12,2023-06-16
SM,6,2024-03-29
PM,6,2023-10-03
SM,12,2023-06-12
Não Aplicável - NA,9,2023-09-11
PM,15,2023-05-19
PM,5,2023-07-21
Não Aplicável - NA,10,2023-09-03
PM,8,2023-05-03
PD,11,2024-02-05
SM,14,2024-02-10
PM,10,2023-07-31
PD,14,2024-01-31
PD,9,2023-06-01
PM,5,2023-06-13
Não Aplicável - NA,12,2023-12-01
MJG,15,2023-04-19
MJG,11,2023-06-22
Não Aplicável - NA,13,2023-08-30
MJG,6,2024-02-03
PD,10,2023-10-31
MJG,8,2023-11-01
Não Aplicável - NA,13,2023-04-22
MJG,8,2023-10-19
Não Aplicável - NA,13,2023-10-14
MJG,12,2023-10-20
PD,5,2024-02-05
SM,7,2023-09-12
MJG,11,2023-08-10
Não Aplicável - NA,11,2023-04-25
Não Aplicável - NA,6,2023-10-19
PM,8,2024-02-12
Não Aplicável - NA,5,2023-08-22
PD,12,2023-06-04
PM,8,2024-04-06
PM,10,2023-05-14
PD,6,2023-09-29
MJG,13,2023-06-20
PD,11,2023-05-29
PD,14,2023-10-01
MJG,10,2024-04-11
MJG,15,2023-08-21
Não Aplicável - NA,12,2024-01-23
SM,10,2023-05-25
Não Aplicável - NA,12,2023-10-01
MJG,8,2023-12-04
PM,8,2023-10-06
SM,6,2023-05-07
PM,9,2023-04-19
SM,11,2024-02-25
PD,5,2023-07-31
SM,15,2024-03-22
Não Aplicável - NA,11,2023-11-20
Não Aplicável - NA,5,2023-06-18
PM,15,2023-07-30
PM,13,2024-04-11
PM,7,2024-02-25
SM,7,2023-09-14
PM,6,2024-01-22
SM,6,2023-07-20
Não Aplicável - NA,6,2023-12-28
PM,11,2023-07-12
Não Aplicável - NA,8,2023-04-25
MJG,11,2023-12-07
PM,6,2024-01-16
MJG,7,2024-02-20
SM,9,2024-02-09
SM,13,2024-01-23
SM,14,2023-12-25
PD,7,2023-04-25
PM,12,2024-01-14
Não Aplicável - NA,9,2024-03-17
SM,13,2024-01-10
Não Aplicável - NA,13,2024-02-20
Não Aplicável - NA,5,2023-09-02
SM,11,2024-02-16
MJG,10,2023-12-29
Não Aplicável - NA,7,2023-07-07
SM,5,2024-01-28
SM,8,2024-04-06
PD,7,2023-10-13
PD,7,2023-10-08
PD,8,2023-10-03
Não Aplicável - NA,7,2023-11-19
PM,13,2024-02-15
Não Aplicável - NA,10,2023-08-12
PD,14,2023-05-19
Não Aplicável - NA,10,2024-02-16
MJG,13,2023-07-07
Não Aplicável - NA,9,2023-12-22
MJG,10,2023-11-25
PD,12,2023-11-05
PD,5,2024-03-27
PD,7,2023-05-10
SM,10,2023-07-05
PD,6,2023-07-12
MJG,9,2023-05-17
PD,7,2024-02-18
PM,5,2023-06-15
Não Aplicável - NA,6,2023-10-10
Não Aplicável - NA,8,2024-01-08
Não Aplicável - NA,9,2023-10-14
SM,9,2023-11-21
Não Aplicável - NA,7,2023-05-15
Não Aplicável - NA,10,2023-05-16
PD,8,2024-03-09
PM,8,2023-04-30
SM,5,2023-09-02
Não Aplicável - NA,13,2024-02-11
PM,7,2023-11-02
PM,13,2023-12-06
PM,7,2024-02-16
SM,15,2024-04-10
Não Aplicável - NA,12,2023-09-12
PM,7,2024-02-01
MJG,6,2023-04-24
MJG,14,2023-07-06
PM,9,2023-09-10
Não Aplicável - NA,7,2023-04-19
PM,12,2023-04-26
PD,9,2023-11-22
MJG,5,2023-04-28
PM,14,2023-08-25
PM,14,2023-07-14
PM,13,2023-05-05
PM,10,2023-11-20
Não Aplicável - NA,7,2024-02-23
PD,15,2024-01-08
Não Aplicável - NA,14,2023-07-24
PM,14,2023-10-10
Não Aplicável - NA,14,2024-02-18
MJG,13,2023-10-08
SM,14,2023-11-03
MJG,12,2023-10-21
Não Aplicável - NA,9,2023-10-29
PM,11,2023-09-22
MJG,14,2024-03-27
PM,12,2023-09-13
PD,15,2024-03-28
PM,6,2024-01-27
PM,11,2023-12-30
Não Aplicável - NA,8,2024-01-06
Não Aplicável - NA,7,2024-01-03
SM,12,2023-07-29
PM,10,2023-08-11
Não Aplicável - NA,11,2023-06-05
PM,15,2023-06-12
PD,8,2023-08-29
Não Aplicável - NA,15,2024-03-07
SM,10,2023-12-06
PD,9,2023-08-25
PD,13,2023-08-25
PD,9,2023-08-19
SM,5,2023-10-29
SM,10,2023-08-08
MJG,13,2024-04-04
MJG,13,2024-02-10
MJG,12,2023-07-18
MJG,8,2023-06-15
MJG,8,2023-12-27
PM,12,2023-09-19
MJG,14,2023-09-18
PM,14,2023-09-08
SM,12,2024-04-02
MJG,12,2023-05-14
Não Aplicável - NA,5,2023-09-20
MJG,8,2023-11-01
Não Aplicável - NA,6,2023-07-22
MJG,9,2024-01-22
MJG,14,2024-03-04
MJG,10,2024-02-23
SM,5,2023-05-20
PD,15,2024-01-17
MJG,11,2023-10-12
PD,11,2023-08-06
MJG,10,2023-06-14
MJG,10,2023-10-09
SM,14,2023-11-18
PM,15,2023-05-30
MJG,13,2023-07-12
MJG,13,2024-01-17
Não Aplicável - NA,7,2023-07-04
PM,13,2024-02-27
PM,6,2023-06-10
PD,11,2024-03-09
SM,7,2023-11-28
Não Aplicável - NA,10,2023-07-20
PD,5,2024-01-21
MJG,15,2023-11-21
PD,8,2023-11-13
PM,10,2023-04-30
SM,5,2023-09-26
PD,6,2023-04-16
Não Aplicável - NA,14,2024-01-09
